year,country_gaining,iso3c_gaining,country_losing,iso3c_losing,type,pop,area
1898,France,FRA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,13000.00
1898,Russia,RUS,China,CHN,"Cession
(part yielded to other entity)",250000,3170.00
1898,United Kingdom,GBR,Turkey,TUR,"Conquest
(armed force)",294190,8614.00
1899,United States,USA,Samoa,WSM,"Cession
(part yielded to other entity)",4000,195.00
1899,Venezuela,VEN,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1899,United Kingdom,GBR,Germany,DEU,"Cession
(part yielded to other entity)",.,1.00
1899,United Kingdom,GBR,Germany,DEU,"Cession
(part yielded to other entity)",89000,23310.00
1899,United Kingdom,GBR,Venezuela,VEN,"Cession
(part yielded to other entity)",.,155400.00
1899,United Kingdom,GBR,Kuwait,KWT,"Annexation
(unilateral)",50000,15540.00
1899,United Kingdom,GBR,Sudan,SDN,"Conquest
(armed force)",2000000,2505823.00
1899,France,FRA,NA,NA,"Conquest
(armed force)",.,2394466.00
1899,Germany,DEU,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1899,Germany,DEU,Spain,ESP,"Cession
(part yielded to other entity)",15069,405.00
1899,Germany,DEU,Samoa,WSM,"Cession
(part yielded to other entity)",33000,2823.00
1900,United Kingdom,GBR,Tonga,TON,"Annexation
(unilateral)",26000,700.00
1900,Russia,RUS,China,CHN,"Conquest
(armed force)",5530000,939280.00
1902,Cuba,CUB,United States,USA,"Unknown process
(often independences)",1572797,114525.00
1902,Chile,CHL,Argentina,ARG,"Cession
(part yielded to other entity)",.,27708.00
1902,Argentina,ARG,Chile,CHL,"Cession
(part yielded to other entity)",.,20470.00
1902,United Kingdom,GBR,Ethiopia,ETH,"Cession
(part yielded to other entity)",.,292500.00
1902,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",1000000,286065.00
1902,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",200000,129153.00
1903,United States,USA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1903,United States,USA,Panama,PAN,"Cession
(part yielded to other entity)",21650,1678.00
1903,Panama,PAN,Colombia,COL,"Secession
(establish new indep. entities)",400000,75690.00
1903,Brazil,BRA,Bolivia,BOL,"Cession
(part yielded to other entity)",70000,191000.00
1903,Bolivia,BOL,Brazil,BRA,"Cession
(part yielded to other entity)",.,3108.00
1903,United Kingdom,GBR,NA,NA,"Conquest
(armed force)",10000000,668220.00
1903,France,FRA,Morocco,MAR,"Conquest
(armed force)",62000,499870.00
1904,Brazil,BRA,Ecuador,ECU,"Cession
(part yielded to other entity)",.,67600.00
1904,France,FRA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1904,France,FRA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1904,France,FRA,Thailand,THA,"Cession
(part yielded to other entity)",.,20720.00
1904,France,FRA,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,16.00
1904,Thailand,THA,France,FRA,"Cession
(part yielded to other entity)",.,6076.00
1905,Norway,NOR,Sweden,SWE,"Secession
(establish new indep. entities)",2240032,323917.00
1905,China,CHN,Russia,RUS,"Cession
(part yielded to other entity)",5530000,939280.00
1905,Japan,JPN,Russia,RUS,"Cession
(part yielded to other entity)",405680,3253.00
1905,Japan,JPN,Russia,RUS,"Cession
(part yielded to other entity)",9824,32348.00
1905,Japan,JPN,NA,NA,"Conquest
(armed force)",5713244,220891.00
1906,United Kingdom,GBR,Turkey,TUR,"Cession
(part yielded to other entity)",.,1.00
1906,Belgium,BEL,United Kingdom,GBR,"Cession
(part yielded to other entity)",250000,38850.00
1907,Brazil,BRA,Colombia,COL,"Cession
(part yielded to other entity)",.,162500.00
1907,Brazil,BRA,Bolivia,BOL,"Cession
(part yielded to other entity)",.,65000.00
1907,Netherlands,NLD,NA,NA,"Conquest
(armed force)",582175,53020.00
1907,France,FRA,Morocco,MAR,"Conquest
(armed force)",.,100.00
1907,France,FRA,Thailand,THA,"Cession
(part yielded to other entity)",.,18130.00
1907,Thailand,THA,France,FRA,"Cession
(part yielded to other entity)",.,35641.00
1908,Bulgaria,BGR,Turkey,TUR,"Secession
(establish new indep. entities)",4035575,96345.00
1909,Peru,PER,Bolivia,BOL,"Cession
(part yielded to other entity)",.,26000.00
1909,United Kingdom,GBR,Thailand,THA,"Cession
(part yielded to other entity)",450000,38195.00
1909,France,FRA,NA,NA,"Conquest
(armed force)",223000,893700.00
1910,United Kingdom,GBR,Belgium,BEL,"Cession
(part yielded to other entity)",250000,38850.00
1910,United Kingdom,GBR,Bhutan,BTN,"Cession
(part yielded to other entity)",250000,46600.00
1910,Belgium,BEL,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1910,Morocco,MAR,France,FRA,"Cession
(part yielded to other entity)",.,100.00
1911,United Kingdom,GBR,Liberia,LBR,"Cession
(part yielded to other entity)",.,800.00
1911,France,FRA,NA,NA,"Conquest
(armed force)",.,76534.00
1911,Germany,DEU,France,FRA,"Cession
(part yielded to other entity)",1000000,259000.00
1911,Liberia,LBR,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,800.00
1912,France,FRA,Morocco,MAR,"Annexation
(unilateral)",5400000,398523.00
1912,Spain,ESP,Morocco,MAR,"Annexation
(unilateral)",600000,26000.00
1912,Italy,ITA,Turkey,TUR,"Conquest
(armed force)",100198,2681.00
1912,Italy,ITA,Turkey,TUR,"Conquest
(armed force)",523176,1051539.00
1912,Albania,ALB,Turkey,TUR,"Secession
(establish new indep. entities)",825000,28748.00
1913,Yugoslavia,NA,Bulgaria,BGR,"Cession
(part yielded to other entity)",1000000,27625.00
1913,Yugoslavia,NA,Turkey,TUR,"Cession
(part yielded to other entity)",.,7020.00
1913,Montenegro,MNE,Turkey,TUR,"Cession
(part yielded to other entity)",.,5200.00
1913,Greece,GRC,Bulgaria,BGR,"Cession
(part yielded to other entity)",1703000,19110.00
1913,Greece,GRC,Turkey,TUR,"Cession
(part yielded to other entity)",3000000,3771.00
1913,Greece,GRC,United Kingdom,GBR,"Annexation
(unilateral)",342151,8715.00
1913,Greece,GRC,Turkey,TUR,"Cession
(part yielded to other entity)",1500000,24354.00
1913,Bulgaria,BGR,Turkey,TUR,"Cession
(part yielded to other entity)",.,68250.00
1913,Romania,ROU,Bulgaria,BGR,"Cession
(part yielded to other entity)",286000,6959.00
1913,Saudi Arabia,SAU,Turkey,TUR,"Conquest
(armed force)",.,107120.00
1914,United Kingdom,GBR,NA,NA,"Annexation
(unilateral)",180412,18985.00
1914,Italy,ITA,Albania,ALB,"Conquest
(armed force)",.,5.00
1914,Albania,ALB,Greece,GRC,"Cession
(part yielded to other entity)",.,1.00
1914,NA,NA,Turkey,TUR,"Secession
(establish new indep. entities)",.,104338.00
1914,Japan,JPN,Germany,DEU,"Cession
(part yielded to other entity)",168900,518.00
1915,United Kingdom,GBR,Yemen Arab Republic,NA,"Annexation
(unilateral)",.,182.00
1915,Qatar,QAT,Turkey,TUR,"Secession
(establish new indep. entities)",.,11000.00
1916,United States,USA,Nicaragua,NIC,"Cession
(part yielded to other entity)",.,10.00
1916,United Kingdom,GBR,Qatar,QAT,"Annexation
(unilateral)",25000,22014.00
1916,Spain,ESP,France,FRA,"Cession
(part yielded to other entity)",9836,33020.00
1917,United States,USA,Denmark,DNK,"Cession
(part yielded to other entity)",26051,342.00
1917,Finland,FIN,Russia,RUS,"Secession
(establish new indep. entities)",3105000,325534.00
1918,Poland,POL,Russia,RUS,"Secession
(establish new indep. entities)",15400000,263180.00
1918,Czechoslovakia,NA,Austria,AUT,"Cession
(part yielded to other entity)",13600000,140968.00
1918,Estonia,EST,Russia,RUS,"Secession
(establish new indep. entities)",1107000,59984.00
1918,Latvia,LVA,Russia,RUS,"Secession
(establish new indep. entities)",1596000,63300.00
1918,Lithuania,LTU,Russia,RUS,"Secession
(establish new indep. entities)",2029000,154491.00
1918,Ukraine,UKR,Russia,RUS,"Secession
(establish new indep. entities)",.,444595.00
1918,Armenia,ARM,Russia,RUS,"Secession
(establish new indep. entities)",1214391,31057.00
1918,Georgia,GEO,Russia,RUS,"Secession
(establish new indep. entities)",2372403,66976.00
1918,Azerbaijan,AZE,Russia,RUS,"Secession
(establish new indep. entities)",2096973,84984.00
1918,Yemen Arab Republic,NA,Turkey,TUR,"Secession
(establish new indep. entities)",1000000,195000.00
1919,United Kingdom,GBR,Germany,DEU,"Mandated territory
(by League of Nations or UN)",188000,32634.00
1919,United Kingdom,GBR,Germany,DEU,"Mandated territory
(by League of Nations or UN)",550000,80290.00
1919,Belgium,BEL,Germany,DEU,"Cession
(part yielded to other entity)",61000,1000.00
1919,Luxembourg,LUX,Germany,DEU,"Cession
(part yielded to other entity)",.,3.00
1919,France,FRA,Germany,DEU,"Mandated territory
(by League of Nations or UN)",500000,56600.00
1919,France,FRA,Germany,DEU,"Mandated territory
(by League of Nations or UN)",1500000,432012.00
1919,France,FRA,Germany,DEU,"Cession
(part yielded to other entity)",.,259000.00
1919,France,FRA,Germany,DEU,"Cession
(part yielded to other entity)",657870,1945.00
1919,France,FRA,Germany,DEU,"Cession
(part yielded to other entity)",1874014,14514.00
1919,Portugal,PRT,Germany,DEU,"Cession
(part yielded to other entity)",.,1040.00
1919,Poland,POL,Germany,DEU,"Cession
(part yielded to other entity)",2700000,420000.00
1919,Poland,POL,Austria,AUT,"Cession
(part yielded to other entity)",8257505,80080.00
1919,NA,NA,Germany,DEU,"Cession
(part yielded to other entity)",330252,2056.00
1919,Hungary,HUN,Austria,AUT,"Cession
(part yielded to other entity)",7990000,91075.00
1919,Italy,ITA,France,FRA,"Cession
(part yielded to other entity)",.,1.00
1919,Italy,ITA,Austria,AUT,"Cession
(part yielded to other entity)",229510,96.00
1919,Italy,ITA,Austria,AUT,"Cession
(part yielded to other entity)",1178786,18941.00
1919,Yugoslavia,NA,Bulgaria,BGR,"Cession
(part yielded to other entity)",112500,2500.00
1919,Yugoslavia,NA,Austria,AUT,"Cession
(part yielded to other entity)",1931802,53636.00
1919,Greece,GRC,Bulgaria,BGR,"Cession
(part yielded to other entity)",320000,6400.00
1919,South Africa,ZAF,Germany,DEU,"Mandated territory
(by League of Nations or UN)",206000,822907.00
1919,Australia,AUS,Germany,DEU,"Mandated territory
(by League of Nations or UN)",2120,21.00
1920,Canada,CAN,United Kingdom,GBR,"Unknown process
(often independences)",9235000,9571661.00
1920,NA,NA,United Kingdom,GBR,"Unknown process
(often independences)",265000,421481.00
1920,United Kingdom,GBR,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",757182,23310.00
1920,United Kingdom,GBR,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",200000,89484.00
1920,United Kingdom,GBR,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",2849282,280031.00
1920,United Kingdom,GBR,Germany,DEU,"Mandated territory
(by League of Nations or UN)",5000000,939361.00
1920,France,FRA,Turkey,TUR,"Mandated territory
(by League of Nations or UN)",1969004,184920.00
1920,Poland,POL,Czechoslovakia,NA,"Cession
(part yielded to other entity)",145241,1009.00
1920,Poland,POL,Lithuania,LTU,"Cession
(part yielded to other entity)",2075700,29818.00
1920,Austria,AUT,Yugoslavia,NA,"Cession
(part yielded to other entity)",392431,5055.00
1920,Czechoslovakia,NA,Poland,POL,"Cession
(part yielded to other entity)",113500,528.00
1920,Czechoslovakia,NA,Hungary,HUN,"Cession
(part yielded to other entity)",2940374,53320.00
1920,Italy,ITA,Yugoslavia,NA,"Cession
(part yielded to other entity)",404309,5271.00
1920,Yugoslavia,NA,Italy,ITA,"Cession
(part yielded to other entity)",1000,1.00
1920,Yugoslavia,NA,Hungary,HUN,"Cession
(part yielded to other entity)",4095258,71540.00
1918,Romania,ROU,Russia,RUS,"Cession
(part yielded to other entity)",2686600,45632.00
1920,Romania,ROU,Hungary,HUN,"Cession
(part yielded to other entity)",5200000,108289.00
1920,Russia,RUS,Armenia,ARM,"Conquest
(armed force)",1214391,31057.00
1920,Russia,RUS,Azerbaijan,AZE,"Conquest
(armed force)",2096973,84984.00
1920,Russia,RUS,Georgia,GEO,"Conquest
(armed force)",2372403,66976.00
1920,Russia,RUS,Ukraine,UKR,"Conquest
(armed force)",.,444595.00
1920,Denmark,DNK,Germany,DEU,"Cession
(part yielded to other entity)",160000,3800.00
1920,South Africa,ZAF,United Kingdom,GBR,"Unknown process
(often independences)",6930727,1223409.00
1920,NA,NA,Turkey,TUR,"Secession
(establish new indep. entities)",750000,259000.00
1920,Japan,JPN,Germany,DEU,"Mandated territory
(by League of Nations or UN)",70500,2476.00
1920,Australia,AUS,Germany,DEU,"Mandated territory
(by League of Nations or UN)",400000,240870.00
1920,Australia,AUS,United Kingdom,GBR,"Unknown process
(often independences)",5426008,7695094.00
1920,New Zealand,NZL,Germany,DEU,"Mandated territory
(by League of Nations or UN)",41828,2823.00
1920,New Zealand,NZL,United Kingdom,GBR,"Unknown process
(often independences)",1268046,268676.00
1921,Costa Rica,CRI,Panama,PAN,"Annexation
(unilateral)",100,1.00
1921,Poland,POL,Russia,RUS,"Cession
(part yielded to other entity)",3683568,113722.00
1921,Hungary,HUN,Austria,AUT,"Cession
(part yielded to other entity)",39525,225.00
1921,Russia,RUS,Turkey,TUR,"Cession
(part yielded to other entity)",186000,6975.00
1921,Finland,FIN,Sweden,SWE,"Cession
(part yielded to other entity)",27123,1422.00
1921,Mongolia,MNG,China,CHN,"Secession
(establish new indep. entities)",2400000,1531000.00
1922,United States,USA,NA,NA,"Annexation
(unilateral)",0,0.00
1922,Colombia,COL,Venezuela,VEN,"Cession
(part yielded to other entity)",100,1.00
1922,Ireland,IRL,United Kingdom,GBR,"Unknown process
(often independences)",3165000,68891.00
1922,Germany,DEU,Poland,POL,"Cession
(part yielded to other entity)",1299127,9702.00
1922,Poland,POL,Germany,DEU,"Cession
(part yielded to other entity)",893074,3221.00
1922,Egypt,EGY,United Kingdom,GBR,"Unknown process
(often independences)",12800000,994300.00
1922,China,CHN,Japan,JPN,"Cession
(part yielded to other entity)",192000,552.00
1923,Lithuania,LTU,NA,NA,"Annexation
(unilateral)",151960,2846.00
1924,Belgium,BEL,Germany,DEU,"Mandated territory
(by League of Nations or UN)",3000000,54222.00
1924,Italy,ITA,Yugoslavia,NA,"Cession
(part yielded to other entity)",49806,17.00
1924,Italy,ITA,United Kingdom,GBR,"Cession
(part yielded to other entity)",12000,85470.00
1924,Yugoslavia,NA,Italy,ITA,"Cession
(part yielded to other entity)",.,1.00
1924,NA,NA,France,FRA,"Cession
(part yielded to other entity)",50000,363.00
1925,Italy,ITA,Egypt,EGY,"Cession
(part yielded to other entity)",.,400.00
1925,Egypt,EGY,Italy,ITA,"Cession
(part yielded to other entity)",.,1.00
1926,United Kingdom,GBR,Turkey,TUR,"Cession
(part yielded to other entity)",703378,91009.00
1926,New Zealand,NZL,United Kingdom,GBR,"Cession
(part yielded to other entity)",1033,6.00
1927,Belgium,BEL,Portugal,PRT,"Cession
(part yielded to other entity)",.,3.00
1927,Portugal,PRT,Belgium,BEL,"Cession
(part yielded to other entity)",.,3500.00
1928,Netherlands,NLD,United States,USA,"Cession
(part yielded to other entity)",.,1.00
1928,Norway,NOR,United Kingdom,GBR,"Cession
(part yielded to other entity)",0,48.00
1929,Peru,PER,Chile,CHL,"Cession
(part yielded to other entity)",30000,8498.00
1929,NA,NA,Italy,ITA,"Unknown process
(often independences)",639,0.00
1930,China,CHN,United Kingdom,GBR,"Cession
(part yielded to other entity)",154416,738.00
1932,France,FRA,Mexico,MEX,"Cession
(part yielded to other entity)",0,5.00
1932,Iraq,IRQ,United Kingdom,GBR,"Unknown process
(often independences)",3560456,301994.00
1932,Japan,JPN,China,CHN,"Conquest
(armed force)",32900000,1304292.00
1933,United Kingdom,GBR,NA,NA,"Cession
(part yielded to other entity)",289516,404519.00
1933,Japan,JPN,China,CHN,"Conquest
(armed force)",2963027,173960.00
1934,Colombia,COL,Peru,PER,"Cession
(part yielded to other entity)",40000,113882.00
1934,Italy,ITA,France,FRA,"Cession
(part yielded to other entity)",.,1.00
1934,Saudi Arabia,SAU,Yemen Arab Republic,NA,"Cession
(part yielded to other entity)",50,1.00
1935,Paraguay,PRY,Bolivia,BOL,"Conquest
(armed force)",35000,233100.00
1935,Germany,DEU,France,FRA,"Unification
(new entity from 2+ pre-existing)",812030,1912.00
1935,Italy,ITA,France,FRA,"Cession
(part yielded to other entity)",.,800.00
1936,Italy,ITA,Ethiopia,ETH,"Conquest
(armed force)",7000000,906499.00
1937,Japan,JPN,China,CHN,"Conquest
(armed force)",.,1500000.00
1938,Germany,DEU,Austria,AUT,"Annexation
(unilateral)",6760000,83869.00
1938,Germany,DEU,Czechoslovakia,NA,"Cession
(part yielded to other entity)",3653292,28674.00
1938,Poland,POL,Czechoslovakia,NA,"Annexation
(unilateral)",241698,1085.00
1938,Hungary,HUN,Czechoslovakia,NA,"Cession
(part yielded to other entity)",1027450,11826.00
1939,Germany,DEU,Czechoslovakia,NA,"Annexation
(unilateral)",9807096,98909.00
1939,Germany,DEU,Lithuania,LTU,"Annexation
(unilateral)",152660,2846.00
1939,Hungary,HUN,Czechoslovakia,NA,"Conquest
(armed force)",522124,11094.00
1939,Slovakia,SVK,Czechoslovakia,NA,"Secession
(establish new indep. entities)",2450096,38456.00
1939,Italy,ITA,Albania,ALB,"Conquest
(armed force)",1003124,28748.00
1939,Lithuania,LTU,Russia,RUS,"Cession
(part yielded to other entity)",457500,6656.00
1939,Turkey,TUR,France,FRA,"Cession
(part yielded to other entity)",273350,5312.00
1940,Bulgaria,BGR,Romania,ROU,"Cession
(part yielded to other entity)",.,7421.00
1940,Russia,RUS,Estonia,EST,"Conquest
(armed force)",1126000,47549.00
1940,Russia,RUS,Latvia,LVA,"Conquest
(armed force)",1950000,65773.00
1940,Russia,RUS,Lithuania,LTU,"Conquest
(armed force)",2879070,59464.00
1941,Ethiopia,ETH,Italy,ITA,"Cession
(part yielded to other entity)",15000000,906499.00
1942,Peru,PER,Ecuador,ECU,"Cession
(part yielded to other entity)",31000,190807.00
1944,Iceland,ISL,Denmark,DNK,"Secession
(establish new indep. entities)",132000,103000.00
1945,United States,USA,Japan,JPN,"Cession
(part yielded to other entity)",869287,2354.00
1945,Czechoslovakia,NA,Germany,DEU,"Cession
(part yielded to other entity)",12900000,127860.00
1945,Czechoslovakia,NA,Hungary,HUN,"Cession
(part yielded to other entity)",1000000,22922.00
1945,Czechoslovakia,NA,Slovakia,SVK,"Annexation
(unilateral)",2450096,38456.00
1944,Albania,ALB,Italy,ITA,"Cession
(part yielded to other entity)",1132000,28748.00
1945,Russia,RUS,Germany,DEU,"Cession
(part yielded to other entity)",.,13000.00
1945,Russia,RUS,Poland,POL,"Cession
(part yielded to other entity)",.,179460.00
1945,Russia,RUS,Czechoslovakia,NA,"Cession
(part yielded to other entity)",.,7000.00
1945,Russia,RUS,Japan,JPN,"Cession
(part yielded to other entity)",339357,41063.00
1945,China,CHN,Japan,JPN,"Cession
(part yielded to other entity)",6084000,35763.00
1945,China,CHN,Japan,JPN,"Cession
(part yielded to other entity)",.,1500000.00
1945,NA,NA,Germany,DEU,"Cession
(part yielded to other entity)",6952744,83869.00
1945,NA,NA,Japan,JPN,"Cession
(part yielded to other entity)",25100000,220891.00
1945,NA,NA,Japan,JPN,"Cession
(part yielded to other entity)",73100000,371205.00
1945,NA,NA,Germany,DEU,"Conquest
(armed force)",69600000,472605.00
1946,Syria,SYR,France,FRA,"Unknown process
(often independences)",2978000,184920.00
1946,Lebanon,LBN,France,FRA,"Unknown process
(often independences)",1156000,10400.00
1946,Jordan,JOR,United Kingdom,GBR,"Unknown process
(often independences)",400000,89484.00
1946,Philippines,PHL,United States,USA,"Unknown process
(often independences)",18400000,299404.00
1947,United States,USA,Japan,JPN,"Mandated territory
(by League of Nations or UN)",47000,1779.00
1947,France,FRA,Italy,ITA,"Cession
(part yielded to other entity)",.,1.00
1947,France,FRA,NA,NA,"Annexation
(unilateral)",874000,2567.00
1947,Czechoslovakia,NA,Hungary,HUN,"Cession
(part yielded to other entity)",.,1.00
1947,Albania,ALB,Italy,ITA,"Cession
(part yielded to other entity)",.,5.00
1947,Yugoslavia,NA,Italy,ITA,"Cession
(part yielded to other entity)",.,3600.00
1947,Greece,GRC,Italy,ITA,"Cession
(part yielded to other entity)",115343,2681.00
1947,Russia,RUS,Romania,ROU,"Conquest
(armed force)",3500000,49987.00
1947,Russia,RUS,Finland,FIN,"Cession
(part yielded to other entity)",450000,44104.00
1947,South Africa,ZAF,NA,NA,"Annexation
(unilateral)",0,429.00
1947,India,IND,United Kingdom,GBR,"Unknown process
(often independences)",345000,2729368.00
1947,Pakistan,PAK,United Kingdom,GBR,"Unknown process
(often independences)",72200000,863777.00
1947,Australia,AUS,United Kingdom,GBR,"Cession
(part yielded to other entity)",0,412.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1124000,1774149.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",292000,743.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1086000,461541.00
1947,NA,NA,Italy,ITA,"Cession
(part yielded to other entity)",1000000,124000.00
1948,Canada,CAN,United Kingdom,GBR,"Unification
(new entity from 2+ pre-existing)",324000,404519.00
1948,Israel,ISR,United Kingdom,GBR,"Unknown process
(often independences)",782000,12820.00
1948,North Korea,PRK,Russia,RUS,"Unknown process
(often independences)",8000000,121129.00
1948,South Korea,KOR,United States,USA,"Unknown process
(often independences)",20200000,98500.00
1948,Myanmar (Burma),MMR,United Kingdom,GBR,"Unknown process
(often independences)",18100000,678034.00
1948,Sri Lanka,LKA,United Kingdom,GBR,"Unknown process
(often independences)",7244000,65610.00
1949,Netherlands,NLD,NA,NA,"Cession
(part yielded to other entity)",9000,78.00
1949,Belgium,BEL,Germany,DEU,"Cession
(part yielded to other entity)",.,18.00
1949,Luxembourg,LUX,Germany,DEU,"Cession
(part yielded to other entity)",.,6.00
1949,France,FRA,Germany,DEU,"Cession
(part yielded to other entity)",.,7.00
1949,Italy,ITA,NA,NA,"Mandated territory
(by League of Nations or UN)",1086000,461541.00
1949,Egypt,EGY,Israel,ISR,"Conquest
(armed force)",405000,258.00
1949,Jordan,JOR,Israel,ISR,"Conquest
(armed force)",400000,5607.00
1949,Taiwan,TWN,China,CHN,"Secession
(establish new indep. entities)",7099000,36156.00
1949,India,IND,Pakistan,PAK,"Conquest
(armed force)",2700000,139860.00
1949,Bhutan,BTN,India,IND,"Cession
(part yielded to other entity)",19920,83.00
1949,Bhutan,BTN,India,IND,"Unknown process
(often independences)",300000,46600.00
1949,Pakistan,PAK,India,IND,"Conquest
(armed force)",1320000,32024.00
1949,Indonesia,IDN,Netherlands,NLD,"Unknown process
(often independences)",74800000,1491562.00
1950,India,IND,France,FRA,"Cession
(part yielded to other entity)",44786,10.00
1950,India,IND,NA,NA,"Cession
(part yielded to other entity)",137158,7298.00
1951,Poland,POL,Russia,RUS,"Cession
(part yielded to other entity)",7000,240.00
1951,Russia,RUS,Poland,POL,"Cession
(part yielded to other entity)",7000,240.00
1951,Libya,LBY,NA,NA,"Unknown process
(often independences)",1091830,1774149.00
1952,Ethiopia,ETH,NA,NA,"Unification
(new entity from 2+ pre-existing)",1000000,124000.00
1952,Japan,JPN,NA,NA,"Unknown process
(often independences)",83200000,371205.00
1953,Japan,JPN,United States,USA,"Cession
(part yielded to other entity)",.,1000.00
1953,Cambodia,KHM,France,FRA,"Unknown process
(often independences)",4440000,172511.00
1954,German Democratic Republic,NA,Russia,RUS,"Unknown process
(often independences)",18100000,107834.00
1954,Italy,ITA,NA,NA,"Cession
(part yielded to other entity)",297000,223.00
1954,Yugoslavia,NA,NA,NA,"Cession
(part yielded to other entity)",62725,516.00
1954,India,IND,France,FRA,"Cession
(part yielded to other entity)",323000,503.00
1953,Laos,LAO,France,FRA,"Unknown process
(often independences)",1505000,236800.00
1954,Vietnam,VNM,France,FRA,"Unknown process
(often independences)",16100000,155203.00
1954,Republic of Vietnam,NA,France,FRA,"Unknown process
(often independences)",9934000,168350.00
1955,France,FRA,Libya,LBY,"Cession
(part yielded to other entity)",.,26000.00
1955,NA,NA,NA,NA,"Unknown process
(often independences)",50200000,247476.00
1955,Austria,AUT,NA,NA,"Unknown process
(often independences)",6947000,83869.00
1955,China,CHN,Taiwan,TWN,"Cession
(part yielded to other entity)",300,1.00
1955,Australia,AUS,United Kingdom,GBR,"Cession
(part yielded to other entity)",500,14.00
1956,NA,NA,Belgium,BEL,"Cession
(part yielded to other entity)",648,1.00
1956,Morocco,MAR,France,FRA,"Unknown process
(often independences)",8955000,380800.00
1956,Morocco,MAR,Spain,ESP,"Cession
(part yielded to other entity)",1045000,19656.00
1956,Morocco,MAR,NA,NA,"Cession
(part yielded to other entity)",183000,349.00
1956,Tunisia,TUN,France,FRA,"Unknown process
(often independences)",3963000,125180.00
1956,Sudan,SDN,United Kingdom,GBR,"Unknown process
(often independences)",10300000,2505823.00
1956,Egypt,EGY,United Kingdom,GBR,"Cession
(part yielded to other entity)",.,1.00
1956,Japan,JPN,Russia,RUS,"Cession
(part yielded to other entity)",.,500.00
1957,NA,NA,France,FRA,"Cession
(part yielded to other entity)",992000,2567.00
1957,Ghana,GHA,United Kingdom,GBR,"Unknown process
(often independences)",6250000,204097.00
1957,Ghana,GHA,United Kingdom,GBR,"Unification
(new entity from 2+ pre-existing)",429000,33776.00
1957,Malaysia,MYS,United Kingdom,GBR,"Unknown process
(often independences)",6279000,131287.00
1958,Guinea,GIN,France,FRA,"Unknown process
(often independences)",2896000,245857.00
1958,Morocco,MAR,Spain,ESP,"Cession
(part yielded to other entity)",9000,13219.00
1958,Egypt,EGY,Syria,SYR,"Unification
(new entity from 2+ pre-existing)",29300000,1187338.00
1958,India,IND,Pakistan,PAK,"Cession
(part yielded to other entity)",.,1.00
1958,Pakistan,PAK,India,IND,"Cession
(part yielded to other entity)",300,1.00
1958,Pakistan,PAK,Oman,OMN,"Cession
(part yielded to other entity)",8146,1.00
1958,Australia,AUS,United Kingdom,GBR,"Cession
(part yielded to other entity)",3361,135.00
1960,Honduras,HND,Nicaragua,NIC,"Cession
(part yielded to other entity)",.,20720.00
1960,Cyprus,CYP,United Kingdom,GBR,"Unknown process
(often independences)",573000,9251.00
1960,Mali,MLI,France,FRA,"Unknown process
(often independences)",7172000,1401182.00
1960,Senegal,SEN,Mali,MLI,"Secession
(establish new indep. entities)",3110000,197161.00
1960,Benin,BEN,France,FRA,"Unknown process
(often independences)",2050000,115760.00
1960,Mauritania,MRT,France,FRA,"Unknown process
(often independences)",970000,1085805.00
1960,Niger,NER,France,FRA,"Unknown process
(often independences)",2876000,1188794.00
1960,Côte d’Ivoire,CIV,France,FRA,"Unknown process
(often independences)",3230000,322463.00
1960,Burkina Faso,BFA,France,FRA,"Unknown process
(often independences)",4400000,274200.00
1960,Togo,TGO,France,FRA,"Unknown process
(often independences)",1440000,56600.00
1960,Cameroon,CMR,France,FRA,"Unknown process
(often independences)",4700000,432012.00
1960,Nigeria,NGA,United Kingdom,GBR,"Unknown process
(often independences)",52000000,878447.00
1960,Gabon,GAB,France,FRA,"Unknown process
(often independences)",446000,267000.00
1960,Central African Republic,CAF,France,FRA,"Unknown process
(often independences)",1227000,626000.00
1960,Chad,TCD,France,FRA,"Unknown process
(often independences)",3070000,1283000.00
1960,Congo - Brazzaville,COG,France,FRA,"Unknown process
(often independences)",773000,342000.00
1960,Congo - Kinshasa,COD,Belgium,BEL,"Unknown process
(often independences)",14100000,2344932.00
1960,Somalia,SOM,Italy,ITA,"Unknown process
(often independences)",1330000,461541.00
1960,Somalia,SOM,United Kingdom,GBR,"Unification
(new entity from 2+ pre-existing)",650000,176120.00
