year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1933,1677,"Havana, Cuba","Havana, Cuba",-82.3666,23.1136,8,latlong.net,Capital,,162916,Cuba,Havana,23.1319,-82.3642,5
1883,1683,"Ile de la Tortue, Haiti","Ile de la Tortue, Haiti",-72.7925,20.0549,2,latlong.net,Island,,158615,"Tortugo Island, Haiti",Ile de la Tortue,20.05,-72.95,3
1939,1684,"Brenner Pass, Italy","Brenner Pass, Italy",11.5061,47.0018,5,latlong.net,Point along a line,,197664,Brenner Pass,"Brenner Pass, Italy",47,11.5,4
1939,1685,Poland (Eastern [> ADM1]),Centroid of > ADM1,21.6259,51.9092,5,ArcGIS and GADM,> ADM1,,204164,Eastern Poland,"Liblin, Poland",49.9167,13.5333,3
1939,1686,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,198380,swi-ger border,mid pt on border,47.7156,8.62,4
1942,1693,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1942,1694,Thailand,Centroid of ADM0,101.017,15.127,6,ArcGIS and cShapes,State,Uses 1946 data,151763,,thailand,13.91,100.61,5
1944,1695,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979,8,latlong.net,Capital,,197679,Hungary,Budapest,47.5,19.0833,5
1947,1698,Argentina-Chile Border,Midpoint of shared (national) border,-71.623809,-39.612334,5,ArcGIS and cShapes,Point along a line,,72217,,md pt of CHI-ARG border,-36.78,-70.91,4
1952,1701,"Gotland, Sweden","Gotland, Sweden",18.4867,57.4684,5,latlong.net,Sea,,212077,Baltic Sea near Sweden,Gotland,57.5,18.55,4
1952,1702,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294,3,ArcGIS and Marine Regions,Territorial waters,,128359,Ecuadorian coastal waters,Manta,-0.933333,-80.7,4
1952,1703,Hungary-Yugoslavia Border,Midpoint of shared (national) border,18.0074,45.7869,5,ArcGIS and cShapes,Point along a line,,195517,,md pt of YUG-HUN border,45.778,18.227,4
1957,1706,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687,5,ArcGIS and cShapes,Point along a line,Uses 1962 data,178216,Algerian-Tunisian border,"Bou Aroua, Algeria",36.5833,2.3,4
1958,1707,Aksai Chin,Aksai Chin,79.1321,35.0314,3,latlong.net,ADM2 like,,180519,"Aksai Chin, Ladakh Region","Ladakh, India",34.5,77.5,3
1959,1708,China-Myanmar Border,Midpoint of shared (national) border,97.559,23.927,5,ArcGIS and cShapes,Point along a line,,163996,China/Burma border,"Luxi, China",24.5167,103.767,4
1959,1709,South Korea Territorial Waters,Centroid of mainland territorial waters,127.333,33.9046,3,ArcGIS and Marine Regions,Territorial waters,,178455,off Korean coast,"Inchon, S.Korea",37.4536,126.732,4
1960,1710,"Inchon, South Korea","Inchon, South Korea",126.705,37.4563,2,latlong.net,Near,,183494,Waters off Inchon,"Inchon, S.Korea",37.4536,126.732,3
1960,1711,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687,5,ArcGIS and cShapes,Point along a line,Uses 1962 data,178216,Algerian-Tunisian border,"Bou Aroua, Algeria",36.5833,2.3,4
1966,1713,"Beijing, China","Beijing, China",116.407,39.9042,1,latlong.net,Precise location text,,187073,Beijing China,"Beijing, China",39.9289,116.388,1
1866,1714,"Valaparaiso, Chile","Valaparaiso, Chile",-71.6127,-33.0472,1,latlong.net,Precise location text,,81577,"Valparaiso, Chile",Valparaiso,-33.0478,-71.6011,1
1967,1715,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,Sikkim,"Sikkim, India",27.75,88.5,3
1969,1717,Gibraltar,Gibraltar,-5.35358,36.1408,1,latlong.net,Precise location text,,181790,Gibraltar,"Gibraltar, UK",36.1333,-5.35,3
1971,1718,Romania-Russia Border,Midpoint of shared (national) border,27.1899,47.9239,5,ArcGIS and cShapes,Point along a line,,198415,,md pt of usr-rom border,48.25,26.63,4
1976,1720,Albania-Yugoslavia Border,Midpoint of shared (national) border,20.3865,42.3043,5,ArcGIS and cShapes,Point along a line,,190481,alb-yug Border,mid pt of border,41.9125,20.6317,4
1919,1723,Russia (Karelia [ADM1]),Centroid of ADM1,33.148,63.5415,4,ArcGIS and GADM,ADM1,,221467,Karelia,"Karelia, Russia",64,32,1
1917,1724,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Odean,mid pt of ocean,16.4142,-37.5764,5
1914,1725,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1916,1726,"Cardiff, United Kingdom","Cardiff, United Kingdom",-3.17909,51.4816,1,latlong.net,Precise location text,,203394,"Cardiff, United Kingdom",Cardiff,51.5,-3.2,1
1915,1732,North Sea,North Sea,3.51563,56.511,5,latlong.net,Sea,,211328,North Sea,North Sea,55.3333,3,5
1932,1733,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,-37.5764,5
1911,1734,Guatemala,Centroid of ADM0,-90.3562,15.7021,6,ArcGIS and cShapes,State,Uses 1946 data,152100,,guatemala,15.659,-89.998,5
1825,1735,"Tripoli, Libya","Tripoli, Libya",13.1913,32.8872,1,latlong.net,Precise location text,,176787,"North Africa, Tripoli","Tripoli, Libya",32.8925,13.18,1
1924,1736,Ionian Sea,Ionian Sea,37.7885,18.8076,5,latlong.net,Sea,,156676,"Sicily, Rhodes","Palermo, Sicilly",38.1167,13.3667,3
1888,1739,Greece (Thessaly [ADM1]),Centroid of ADM1,22.5402,39.0728,4,ArcGIS and GADM,ADM1,,186166,Thessaly,"Larissa, Greece",39.6333,22.4167,3
1839,1740,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,134158,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1857,1743,Mozambique Channel,Mozambique Channel,41.2809,-18.6159,3,latlong.net,Channel,,102683,Mozambique channel,Mozambique Channel,-20,43,4
1960,1746,"Saidia, Morocco","Saidia, Morocco",-2.28766,35.0999,1,latlong.net,Precise location text,,180356,"Saidia, Morocco","Saidia, Morocco",35.1333,-2.41667,1
1940,1749,Atlantic Ocean,Atlantic Ocean,-28.6731,-14.5994,6,latlong.net,Ocean,,108303,Atlantic Ocean,mid pt of ocean,16.4142,37.5764,5
1876,1750,"Besika Bay, Turkey","Besika Bay, Turkey",26.4,40.2,3,latlong.net,Bay,,187613,"Besika Bay, Turkey",Besiktas,40.9167,42.8667,3
1826,1752,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,103242,Coast of Brazil,Recife,-8.05,-34.9,4
1833,1753,"Cartagena, Colombia","Cartagena, Colombia",-75.4794,10.391,1,latlong.net,Precise location text,,144210,Cartagena (Colombia),Cartagena,10.4167,-75.5333,1
1852,1755,"Lobos Island, Peru","Lobos Island, Peru",-80.8599,-6.43756,2,latlong.net,Island,,120439,"Lobos Island, Peru",Lobos Island,-9.26667,-78.5667,3
1856,1757,Colombia Territorial Waters (Caribbean Mainland),Centroid of territorial waters,-74.1421,11.4789,3,ArcGIS and Marine Regions,Territorial waters,,145652,Colombian coast,"Barranquilla, Colombia",5.15,-73.8833,4
1862,1762,"Rio de Janeiro, Brazil","Rio de Janeiro, Brazil",-43.1729,-22.9068,1,latlong.net,Precise location text,,96754,Rio de Janeiro,Rio de Janeiro,-22.9,-43.2333,1
1880,1763,Argentina-Uruguay Border (Rio de la Plata [Territorial Waters]),Midpoint of shared (territorial water) border,-55.7852,-35.7084,5,ArcGIS and Marine Regions,Point along a line,,78009,Rio de la Plata,"Rio de la Plata, Mexico",20.55,-104.833,4
1885,1764,"Buenaventura, Colombia","Buenaventura, Colombia",-77.0197,3.88305,1,latlong.net,Precise location text,,134846,"Buenaventura, Colombia",Buenaventura,10.1,-75.05,1
1911,1771,"Oslo, Norway","Oslo, Norway",10.7522,59.9139,2,latlong.net,Near,,215662,Norvegian waters near Christiania,Christiana,59.9167,10.75,4
1911,1772,Red Sea,Red Sea,38.5126,20.2802,5,latlong.net,Sea,,158838,Red Sea,Red Sea,19,39.5,5
1914,1773,"Luanda, Angola","Luanda, Angola",13.2894,-8.83999,8,latlong.net,Capital,,117027,Angola,Luanda,-8.83833,13.2344,5
1914,1774,Germany coastline (Eastern),Midpoint of coastline,12.1614,54.2144,5,ArcGIS and GADM,Point along a line,,207745,,ger coast,54.04,13.97,4
1915,1775,Mexico-United States Border,Midpoint of shared (national) border,-105.809,31.2332,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,174389,us-mex border,mid pt of border,31.2192,-105.938,4
1918,1777,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,195734,Manchuria,"Harbin, China",45.75,126.65,3
1920,1778,"Tirana, Albania","Tirana, Albania",19.8187,41.3275,8,latlong.net,Capital,,189040,Albania,Tirana,41.3275,19.8189,5
1922,1779,Afghanistan-Russia Border,Midpoint of shared (national) border,68.8599,37.3324,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,183378,Afganistan-USSR border,"Termez, Uzbekistan",37.2386,67.2783,4
1923,1780,"Encoro do Eume, Spain","Encoro do Eume, Spain",-7.99062,43.3764,5,latlong.net,Point along a line,,191865,Fume,"Rio Fume, Spain",43.4167,-8.13333,4
1925,1781,Urta Toghai Island,Urta Toghai Island,69.5014,37.4986,2,latlong.net,Island,,183380,Urta Tagail Island,"Urta Toghai, Afghanistan",37.5,69.5,3
1940,1783,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,198380,ger-swi border,mid pt of border,47.7156,8.62,4
1941,1785,"Bangkok, Thailand","Bangkok, Thailand",100.502,13.7563,8,latlong.net,Capital,,149602,Thailand,Bangkok,13.75,100.517,5
1943,1788,Germany-Switzerland Border,Midpoint of shared (national) border,9.52686,47.5564,5,ArcGIS and cShapes,Point along a line,Uses 1955 data,198380,ger-swi border,mid pt of border,47.7156,8.62,4
1944,1790,"Budapest, Hungary","Budapest, Hungary",19.0402,47.4979,8,latlong.net,Capital,,197679,Hungary,Budapest,47.5,19.0833,5
1946,1792,Gulf of Thailand,Gulf of Thailand,101.343,9.71212,4,latlong.net,Gulf,,143843,thai-viet border,gulf of thailand,9.95556,104.553,4
1948,1793,Israel,Centroid of ADM0,34.9659,31.3585,6,ArcGIS and cShapes,State,,174670,,israel,31.585,35.227,5
1959,1796,Algeria-Tunisia Border,Midpoint of shared (national) border,7.56266,33.6687,5,ArcGIS and cShapes,Point along a line,Uses 1962 data,178216,Algerian-Tunisian border,"Bou Aroua, Algeria",36.5833,2.3,4
1960,1797,Nepal (Northwest [> ADM1]),Centroid of > ADM1,81.8585,29.085,5,ArcGIS and GADM,> ADM1,,171884,Mistarig region NW Nepal,"Simikot, Nepal",29.7661,81.8194,3
1961,1799,Sea of Japan,Sea of Japan,135,38.8488,5,latlong.net,Sea,,185671,Sea of Japan,Sea of Japan,43.5,135.75,5
1865,1800,"Mexico City, Mexico","Mexico City, Mexico",-99.1332,19.4326,8,latlong.net,Capital,,157122,Mexico,Mexico City,19.4342,-99.1386,5
1961,1801,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209,3,ArcGIS and Marine Regions,Territorial waters,,155740,Coastal waters of the Dom Republic,Santo Domingo,18.4667,-69.9,4
1963,1803,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294,3,ArcGIS and Marine Regions,Territorial waters,,128359,Ecuadorian coastal waters,"Manta, Ecuador",-0.95,-80.7333,4
1965,1804,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759,5,ArcGIS and cShapes,Point along a line,,105536,,zim-zam border,-17.006,27.794,4
1967,1805,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294,3,ArcGIS and Marine Regions,Territorial waters,,128359,Coastal waters of Ecuadore,Bahia de Manta,-0.933333,-80.7,4
1968,1806,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774,5,ArcGIS and cShapes,Point along a line,,146733,,VIE-CAM,11.96,106.7,4
1968,1807,Ghana Territorial Waters,Centroid of territorial waters,-0.943057,5.10273,3,ArcGIS and Marine Regions,Territorial waters,,137159,off Ghanan coast,"Accra, Ghana",5.55,-0.216667,4
1973,1808,Argentina-Uruguay Border,Midpoint of shared (national) border,-57.9776,-31.3705,5,ArcGIS and cShapes,Point along a line,,84485,,arg-uru border,-32.19,-57.92,4
1975,1809,"Nairobi, Kenya","Nairobi, Kenya",36.821946,-1.292066,8,latlong.net,Capital,,127874,Kenya,Nairobi,-1.28333,36.8167,5
1919,1810,"Fuzhou, China","Fuzhou, China",119.296,26.0745,1,latlong.net,Precise location text,,167639,Fuzhou Shantung Province,"Fuzhou, China",26.0614,119.306,3
1937,1825,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1961,1900,Faroe Islands,Faroe Islands,-6.91181,61.8926,2,latlong.net,Island,,218507,North Sea Faeroe Islands,Faroe Islands,62,-7,3
1953,2000,Indonesia (Papua [ADM1] and Irian Jaya Barat [ADM1]),Centroid of > ADM1,137.326,-4.03131,5,ArcGIS and GADM,> ADM1,,123755,West Irian,"Irian Jaya, Indonesia",-5,138,3
1953,2001,Burma (Shan State [ADM1]),Centroid of ADM1,98.1269,21.722,4,ArcGIS and GADM,ADM1,,161117,Shan State of Kentung,"Kentung, Burma",21.2833,99.6,3
1960,2002,"Harbin, China","Harbin, China",126.535,45.8038,5,latlong.net,> ADM1,,195734,Manchuria,"Harbin, China",45.75,126.65,3
1903,2005,Brazil (Acre [ADM1]),Centroid of ADM1,-70.4467,-9.30992,4,ArcGIS and GADM,ADM1,,116140,Acre,"Acre, Brazil",-9,-70,3
1949,2006,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1949,2007,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1950,2008,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1950,2009,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1950,2010,North Vietnam,Centroid of ADM0,105.288,20.594,6,ArcGIS and cShapes,State,Uses 1954 data,159691,Northern Vietnam,Thai Nguyen,21.5928,105.844,3
1850,2012,Parana River,Midpoint of river,-53.8819,-23.4585,5,ArcGIS and Natural Earth Data,Point along a line,,96013,Parana river,"Corrientes, Argentina",-27.4667,-58.8333,4
1838,2013,"Pirara, Brazil","Pirara, Brazil",-61.15,3.05,5,latlong.net,> ADM1,,134158,Pirara region (Brazil),Pirara region,3.05,-61.15,3
1864,2014,Chincha Islands,Chincha Islands,-76.3912,-13.6303,2,latlong.net,Island,,109648,Chincha Islands,"Chincha, Peru",-17.3397,-71.0047,3
1970,2017,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,151052,Mekong river,"Mekong river, Vietnam",10.25,105.917,4
1953,2018,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433,5,ArcGIS and cShapes,Point along a line,,153198,thai-burm border,mid pt of border,16.2114,98.675,4
1948,2020,Nahi Village,"Nahi, Iran",48.55,29.9667,1,MIDLOC1.1,Precise location text,,172538,Nahi Village,"Nahi, Iran",29.9667,48.55,1
1949,2021,China (Yunnan [ADM1]),Centroid of ADM1,101.489,24.976,4,ArcGIS and GADM,ADM1,,165443,Yunnan Province,"Yunnan, China",25,102,3
1952,2022,Gulf of Thailand,Gulf of Thailand,101.343,9.71212,4,latlong.net,Gulf,,143843,thai-viet border,gulf of thailand,9.95556,104.553,4
1954,2023,Thailand (Tak [ADM1]),Centroid of ADM1,98.7911,16.715,4,ArcGIS and GADM,ADM1,,153918,Tak Province,"Tak, Thailand",16.8667,99.1333,3
1955,2024,Thailand (Tak [ADM1]),Centroid of ADM1,98.7911,16.715,4,ArcGIS and GADM,ADM1,,153918,Tak Province,"Tak, Thailand",16.8667,99.1333,3
1957,2025,India-Myanmar Border,Midpoint of shared (national) border,94.5781,25.2131,5,ArcGIS and cShapes,Point along a line,,166150,burm-ind border,mid pt of border,24.7314,94.6586,4
1960,2028,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,151052,Mekong River,"Mekong river, Vietnam",10.25,105.917,4
1960,2029,Laos-North Vietnam Border,Midpoint of shared (national) border,104.845,19.8309,5,ArcGIS and cShapes,Point along a line,,158250,viet-laos border,mid pt of border,18.2389,105.31,4
1964,2031,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,151052,Mekong River,"Mekong river, Vietnam",10.25,105.917,4
1955,2032,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665,8,latlong.net,Capital,,184214,Korea,Seoul,37.5664,127,5
1954,2033,South China Sea,South China Sea,114.405,15.4881,5,latlong.net,Sea,,151789,South China Sea,South China Sea,15,115,5
1954,2034,South China Sea,South China Sea,114.405,15.4881,5,latlong.net,Sea,,151789,South China sea,South China sea,15,115,5
1953,2035,"Seoul, South Korea","Seoul, South Korea",126.978,37.5665,8,latlong.net,Capital,,184214,Korea,Seoul,37.5664,127,5
1953,2036,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1955,2037,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,Taiwan Straits,Taiwan Straits,24,119,5
1958,2038,Hong Kong Island,Hong Kong Island,114.191,22.2588,2,latlong.net,Island,,161869,Hong Kong - Guangdong Province,Hong Kong,22.25,114.183,1
1920,2040,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,149224,Honduran side of the border,"La Esperanza, Honduras",14.7833,-88.1667,4
1957,2042,Costa Rica-Nicaragua Border,Midpoint of shared (national) border,-84.6307,11.0617,5,ArcGIS and cShapes,Point along a line,,145631,Costa Rican-Nicaraguan border,"Los Chiles, Costa Rica",11.0333,-84.7167,4
1866,2043,"Curupayty, Paraguay","Curupayty, Paraguay",-54.65,-25.3667,2,Geonames.org and latlong.net,Near,,93131,Curuzu on the Rio Paraguay,"Curuzu, Paraguay",-27.1333,-58.65,1
1875,2044,Chaco Boreal,Chaco Boreal,-60,-23,5,geonames.org,> ADM1,,96001,"Paraguay; Matto Grosso,Brazil","Chaco Boreal, Paraguay",-23,-60,3
1876,2045,El Salvador Territorial Waters,Centroid of territorial waters,-88.9364,13.2651,3,ArcGIS and Marine Regions,Territorial waters,,148503,Salvadoran Coast,"La Libertad, El Sal",13.9667,-89.6833,4
1890,2046,Guatemala,Centroid of ADM0,-90.3562,15.7021,6,ArcGIS and cShapes,State,Uses 1946 data,152100,Guatemalan coast,mid pt of coastline,13.77,-91.2283,4
1911,2047,Argentina-Paraguay Border,Midpoint of shared (national) border,-58.0107,-26.1068,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,91684,Paraguay-Argentinean border,"Formosa Roque, Arg",-25,-60,4
1957,2049,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
1932,2050,Brazil-Colombia-Peru Border,Intersection of shared (national) border,-69.9569,-4.23687,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,123341,"pt of border between BRA, PER, COL",,-4.17,-69.679,2
1932,2051,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1951,2052,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,165480,,taiwan straits,24.61,119.9,5
1979,2053,Afghanistan-Pakistan-Russia,Midpoint of shortest line between Pakistan-Russia within Afghanistan,72.1109,36.7697,5,ArcGIS and cShapes,Point along a line,,182665,,pt closest between pak and usr within afg,36.859,72.558,3
1983,2054,Afghanistan-Pakistan-Russia,Midpoint of shortest line between Pakistan-Russia within Afghanistan,72.1109,36.7697,5,ArcGIS and cShapes,Point along a line,,182665,,pt closest between pak and usr within afg,36.859,72.558,3
1842,2055,Unspecified,,,,-99,,Location unclear or unspecified,,0,.,,,,7
1936,2056,"Madrid, Spain","Madrid, Spain",-3.70379,40.4168,8,latlong.net,Capital,,187553,Spain,Madrid,40.4,-3.68333,5
1971,2059,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,,191206,Yugoslavia near Bulgarian border,"Pirot, Yugoslavia",43.1592,22.5889,4
1965,2066,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1966,2067,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1973,2068,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1977,2069,Ethiopia-Somalia Border,Midpoint of shared (national) border,47.6729,7.70284,5,ArcGIS and cShapes,Point along a line,,140856,,md pt on som-eth border,7.896,48.097,4
1978,2070,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1980,2071,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1982,2072,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1984,2074,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1985,2075,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,143006,Ogaden,"Ogaden, Ethiopia",8,44,2
1905,2077,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Arg",-54.8833,-68.1667,4
1909,2078,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Arg",-54.8833,-68.1667,4
1958,2079,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167,1,latlong.net,Precise location text,,66457,Alto Palena,"Alto Palena, Chile",-43.6167,-71.8,1
1964,2080,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167,1,latlong.net,Precise location text,,66457,Alto Palena,"Alto Palena, Chile",-43.6167,-71.8,1
1977,2081,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1978,2082,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1980,2083,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1981,2084,Argentina (Mendoza [ADM1]),Centroid of ADM1,-68.5867,-34.6287,4,ArcGIS and GADM,ADM1,,79423,Mendoza Province,"Mendoza Province, Argentina",-34.5,-68.5,3
1983,2086,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1984,2087,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,50625,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1950,2088,"Nilang, India","Nilang, India",96.658,28.1761,1,latlong.net,Precise location text,,170474,"Nilang, Tibet-Indian Border","Nilanga, India",18.1,76.7667,1
1954,2089,Niti Pass,Niti Pass,79.8756,30.9667,5,latlong.net,Point along a line,,174040,Niti Pass,"Niti Pass, India",30.9667,79.8833,1
1955,2090,Niti Pass,Niti Pass,79.8756,30.9667,5,latlong.net,Point along a line,,174040,Niti Pass,"Niti Pass, India",30.9667,79.8833,1
1956,2092,Niti Pass,Niti Pass,79.8756,30.9667,5,latlong.net,Point along a line,,174040,Niti Pass,"Niti Pass, India",30.9667,79.8833,1
1967,2097,"Beijing, China","Beijing, China",116.407,39.9042,1,latlong.net,Precise location text,,187073,"Beijing, China","Beijing, China",39.9289,116.388,1
1969,2098,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,Sikkim,"Sikkim, India",27.75,88.5,3
1971,2099,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,Sikkim,"Sikkim, India",27.75,88.5,3
1973,2100,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,Sikkim,"Sikkim, India",27.75,88.5,3
1979,2101,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,169737,"NEFA, Twang tract and Sikkim","Sikkim, India",27.75,88.5,3
1985,2102,India (Tawang [ADM2]),Centroid of ADM2,91.9183,27.6557,3,ArcGIS and GADM,ADM2,,169744,"NEFA, Twang Tract","tawang, india",27.6731,92.1647,3
1934,2103,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638,5,ArcGIS and cShapes,Point along a line,Uses 1946 data,178292,iraq-iran border,mid pt of border,33.6258,45.8564,4
1965,2106,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,181174,Kordestan,"Kordestan, Iran",37,44,3
1966,2107,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,181174,Kordestan,"Kordestan, Iran",35.5,47,3
1969,2108,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,181174,Kordestan,"Kordestan, Iran",37,44,3
1970,2109,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128,1,latlong.net,Precise location text,,177569,Baghdad,"Baghdad, Iraq",33.3386,44.3939,1
1971,2110,Iraq (Khanaqin [ADM2]),Centroid of ADM2,45.2897,34.3615,3,ArcGIS and GADM,ADM2,,179011,Khanaqin region,"Khanaqin, Iraq",34.5,45.35,3
1973,2111,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,181174,Kordestan,"Kordestan, Iran",37,44,3
1974,2112,"Badrah Spend, Iraq","Badrah Spend, Iraq",45.9343,33.1158,1,latlong.net,Precise location text,,177572,Badrah,"Badrah, Iraq",33.1206,45.9575,1
